URL,mathematics,physicalscience,English,history,medicalscience,religion
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=018&aid=0003892947&date=20170808&type=1&rankingSectionId=000&rankingSeq=2,2820.4,4120.3,3350.5,6531.1,5652.7,4385.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002880285&date=20170808&type=1&rankingSectionId=000&rankingSeq=3,5425.7,7598,6416,8888.8,7519.4,7153.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=014&aid=0003855580&date=20170808&type=1&rankingSectionId=000&rankingSeq=5,5015.4,5777.3,6988,6679.6,6287.8,7135.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=421&aid=0002879741&date=20170808&type=1&rankingSectionId=000&rankingSeq=6,6976.6,7811.7,7144.8,7782.7,8016.2,8569.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=469&aid=0000224443&date=20170808&type=1&rankingSectionId=000&rankingSeq=7,7817.1,8583.9,8887.2,10407.5,9310.8,10877.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009461154&date=20170808&type=1&rankingSectionId=000&rankingSeq=8,3682.3,4752.2,5048.2,4991.8,5245.2,6348.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=055&aid=0000556474&date=20170808&type=1&rankingSectionId=000&rankingSeq=9,1141.4,3988.7,3494.5,4302.2,4420.5,5356.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=079&aid=0002998317&date=20170808&type=1&rankingSectionId=000&rankingSeq=10,9769.6,12154.3,13640.2,12573.1,12892,13748.2
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009460039&date=20170808&type=1&rankingSectionId=000&rankingSeq=11,6049,8518.9,6679.4,8596.2,10917.6,7570.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=055&aid=0000556488&date=20170808&type=2&rankingSectionId=000&rankingSeq=12,7004.9,8458.8,7190.1,7764.5,8877.9,8134.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=016&aid=0001274811&date=20170808&type=1&rankingSectionId=000&rankingSeq=13,5904.3,8707.4,8585.4,8745.6,9029.2,7711.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=052&aid=0001043982&date=20170808&type=2&rankingSectionId=000&rankingSeq=14,4243.7,6282.1,5423.5,9584.6,6746.5,7136.7
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=052&aid=0001043915&date=20170808&type=2&rankingSectionId=000&rankingSeq=15,5168.6,5677,5630.1,7236.5,6125.8,7575.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=008&aid=0003916473&date=20170808&type=1&rankingSectionId=000&rankingSeq=16,4346,5481.3,4739.6,8607.4,6825.8,6511.4
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009461583&date=20170808&type=1&rankingSectionId=000&rankingSeq=17,4827.3,7043.6,8138,9276.3,7606.8,7615.3
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=001&aid=0009460011&date=20170808&type=1&rankingSectionId=000&rankingSeq=18,4035,5189.1,5172.3,6271.9,6267.5,5598.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=008&aid=0003916472&date=20170808&type=1&rankingSectionId=000&rankingSeq=19,6542.3,7586,7411.3,8210.1,7730.3,8885.9
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=277&aid=0004050818&date=20170808&type=1&rankingSectionId=000&rankingSeq=20,7287.3,8669.6,7162.4,10990.7,8816.4,8255.5
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=056&aid=0010491012&date=20170808&type=1&rankingSectionId=000&rankingSeq=21,5466.9,6546,5970.4,10537.5,8017.1,6989.6
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=016&aid=0001274572&date=20170808&type=1&rankingSectionId=000&rankingSeq=22,6353.4,7730.6,6796.3,8526.8,7410.6,8834.8
http://news.naver.com/main/ranking/read.nhn?mid=etc&sid1=111&rankingType=popular_day&oid=003&aid=0008110232&date=20170808&type=1&rankingSectionId=000&rankingSeq=23,5218.4,6476.1,5164.2,7816.4,6825.3,6715.5
